word,freq_text1,freq_text2,log_likelihood,key_in
pull,0,108,3.1730070695985857,Text2
science,2,27,3.1495829335421965,Text1
pass,2,27,3.1495829335421965,Text1
shit,5,134,3.147863362864693,Text1
friend,5,135,3.1042421934663897,Text1
them,7,863,3.0861749351520515,Text2
as,6,770,3.05547191798005,Text2
bigger,2,28,3.0385399379489004,Text1
danger,2,28,3.0385399379489004,Text1
do,38,1906,3.0145609083084963,Text1
come,11,1206,3.0088474161386056,Text2
promise,3,60,3.0083972599399544,Text1
have,40,2024,2.9976081978066595,Text1
gave,0,102,2.9967274278581457,Text2
dad,0,102,2.9967274278581457,Text2
mission,0,102,2.9967274278581457,Text2
target,0,101,2.9673474882198607,Text2
brother,0,101,2.9673474882198607,Text2
the,182,10786,2.956174300632412,Text1
miss,0,100,2.937967548777644,Text2
rey,0,100,2.937967548777644,Text2
plane,2,29,2.9322616883461072,Text1
solo,2,29,2.9322616883461072,Text1
saying,0,99,2.9085876095354384,Text2
grew,1,6,2.890502642032761,Text1
coded,1,6,2.890502642032761,Text1
obvious,1,6,2.890502642032761,Text1
suicide,1,6,2.890502642032761,Text1
en,1,6,2.890502642032761,Text1
parties,1,6,2.890502642032761,Text1
recent,1,6,2.890502642032761,Text1
seats,1,6,2.890502642032761,Text1
art,1,6,2.890502642032761,Text1
relationship,1,6,2.890502642032761,Text1
clearance,1,6,2.890502642032761,Text1
crisis,1,6,2.890502642032761,Text1
knives,1,6,2.890502642032761,Text1
destroyers,1,6,2.890502642032761,Text1
checking,1,6,2.890502642032761,Text1
physical,1,6,2.890502642032761,Text1
dozen,1,6,2.890502642032761,Text1
covered,1,6,2.890502642032761,Text1
apologize,1,6,2.890502642032761,Text1
maz,1,6,2.890502642032761,Text1
andor,1,6,2.890502642032761,Text1
flerken,1,6,2.890502642032761,Text1
prints,1,6,2.890502642032761,Text1
gain,1,6,2.890502642032761,Text1
tiger,1,6,2.890502642032761,Text1
phones,1,6,2.890502642032761,Text1
spoons,1,6,2.890502642032761,Text1
stinger,1,6,2.890502642032761,Text1
our,16,689,2.7628220626500397,Text1
dom,0,94,2.7616879164711845,Text2
calm,2,31,2.7327777671868114,Text1
form,2,31,2.7327777671868114,Text1
means,0,93,2.7323079785188846,Text2
sorry,2,360,2.7055700519560406,Text2
while,0,92,2.7029280407978393,Text2
against,0,92,2.7029280407978393,Text2
called,0,91,2.6735481033131023,Text2
harvey,0,91,2.6735481033131023,Text2
animals,2,32,2.6390322105218376,Text1
galaxy,2,32,2.6390322105218376,Text1
noise,1,7,2.633188477310376,Text1
although,1,7,2.633188477310376,Text1
creating,1,7,2.633188477310376,Text1
maroni,1,7,2.633188477310376,Text1
multiverse,1,7,2.633188477310376,Text1
marine,1,7,2.633188477310376,Text1
predator,1,7,2.633188477310376,Text1
forty,1,7,2.633188477310376,Text1
hearts,1,7,2.633188477310376,Text1
process,1,7,2.633188477310376,Text1
united,1,7,2.633188477310376,Text1
sale,1,7,2.633188477310376,Text1
rip,1,7,2.633188477310376,Text1
dreams,1,7,2.633188477310376,Text1
study,1,7,2.633188477310376,Text1
chick,1,7,2.633188477310376,Text1
wolf,1,7,2.633188477310376,Text1
valuable,1,7,2.633188477310376,Text1
pod,1,7,2.633188477310376,Text1
borders,1,7,2.633188477310376,Text1
everybody,0,89,2.6147882290736204,Text2
hand,0,88,2.5854082923298525,Text2
send,0,88,2.5854082923298525,Text2
point,0,88,2.5854082923298525,Text2
ain,0,88,2.5854082923298525,Text2
their,8,287,2.5772553399179463,Text1
thought,1,241,2.5626840263062483,Text2
bit,0,87,2.5560283558443664,Text2
trip,2,33,2.5489648171099333,Text1
wish,4,107,2.5270817902096914,Text1
together,4,108,2.483393754773086,Text1
big,5,151,2.473446151433289,Text1
star,2,34,2.4623621289831226,Text1
strong,2,34,2.4623621289831226,Text1
my,22,2044,2.4540749037154885,Text2
spider,4,109,2.440367122350069,Text1
lord,0,83,2.4385086126078765,Text2
strongest,1,8,2.411913291581668,Text1
facility,1,8,2.411913291581668,Text1
setting,1,8,2.411913291581668,Text1
loss,1,8,2.411913291581668,Text1
cure,1,8,2.411913291581668,Text1
placed,1,8,2.411913291581668,Text1
blip,1,8,2.411913291581668,Text1
throat,1,8,2.411913291581668,Text1
threaten,1,8,2.411913291581668,Text1
entirely,1,8,2.411913291581668,Text1
countries,1,8,2.411913291581668,Text1
civilian,1,8,2.411913291581668,Text1
dust,1,8,2.411913291581668,Text1
evidence,1,8,2.411913291581668,Text1
version,1,8,2.411913291581668,Text1
unfortunate,1,8,2.411913291581668,Text1
oath,1,8,2.411913291581668,Text1
unknown,1,8,2.411913291581668,Text1
stars,1,8,2.411913291581668,Text1
hacked,1,8,2.411913291581668,Text1
afraid,0,82,2.4091286775077196,Text2
meet,0,82,2.4091286775077196,Text2
by,3,443,2.3928608050362445,Text2
set,0,81,2.379748742705027,Text2
such,0,81,2.379748742705027,Text2
weapon,0,81,2.379748742705027,Text2
finish,2,35,2.3790287518532995,Text1
track,2,35,2.3790287518532995,Text1
long,1,232,2.3742230011122234,Text2
planet,0,80,2.350368808207189,Text2
free,0,80,2.350368808207189,Text2
he,26,2340,2.323312062584158,Text2
parents,2,36,2.2987853722444265,Text1
eye,0,78,2.291608940157049,Text2
beautiful,3,72,2.2912889386009363,Text1
okay,19,886,2.280689059702901,Text1
matter,0,77,2.2622290066209807,Text2
s,116,6788,2.256221418009666,Text1
heart,0,76,2.2328490734222664,Text2
two,2,333,2.223259871625733,Text2
monkey,2,37,2.2214670395128957,Text1
words,2,37,2.2214670395128957,Text1
